                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1439,                 4.4373,                 1.3504,                  0.005,                0.03333,                0.00274,                0.00053,                 1.5483,                 4.6231,                 1.5432,                      0,                      0,                      0
                      2,                 1.7872,                 4.1905,                 1.4811,                  0.005,                0.03333,                0.00275,                0.00071,                 1.5551,                 4.6079,                 1.5416,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                  1.494,                 4.4166,                  1.484,                  0.005,                0.03333,                0.00278,                0.00089,                 1.5525,                 4.5784,                 1.5255,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.3578,                 4.9013,                 1.3789,                  0.005,                0.03333,                 0.0028,                0.00109,                 1.5515,                 4.5629,                 1.5175,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.6212,                 5.3553,                  1.577,                  0.005,                0.03333,                 0.0028,                0.00075,                 1.5367,                 4.5472,                 1.5037,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.9969,                  4.686,                 1.5808,                  0.005,                0.03333,                0.00283,                 0.0011,                 1.5196,                 4.5383,                  1.491,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.92108,                 4.1964,                  1.138,                0.04833,                0.32222,                0.05078,                0.02475,                 1.5533,                 3.2793,                 1.3425,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.1471,                 2.0576,                 1.1557,                0.70003,                0.51111,                0.60477,                0.38274,                 1.2958,                 1.4693,                 1.1086,              0.0001303,              0.0001303,              0.0001303
                      9,                 0.7736,                 1.8187,                0.91974,                0.75768,                0.77778,                0.79133,                0.53979,                 1.1808,                 1.0471,                 1.0409,             0.00014733,             0.00014733,             0.00014733
                     10,                0.89268,                 1.3931,                0.93869,                0.38342,                0.71111,                0.34411,                0.21983,                 1.1936,                 1.6788,                 1.0149,             0.00016396,             0.00016396,             0.00016396
                     11,                0.87089,                 1.6896,                 1.0079,                0.45745,                0.50592,                 0.3587,                0.20625,                  1.298,                 1.9459,                 1.0413,              0.0001802,              0.0001802,              0.0001802
                     12,                0.59887,                0.68915,                0.84008,                0.32451,                0.58719,                0.25351,                0.14892,                 1.3535,                 3.4659,                 1.0677,             0.00019604,             0.00019604,             0.00019604
                     13,                0.73188,                 1.0458,                0.85867,                0.31458,                0.65556,                0.24775,                0.15235,                 1.4332,                 5.0352,                 1.1268,             0.00021149,             0.00021149,             0.00021149
                     14,                0.98203,                 1.2199,                0.95708,                0.25493,                0.48283,                0.18807,                0.11499,                 1.5059,                 8.9029,                 1.1585,             0.00022654,             0.00022654,             0.00022654
                     15,                0.87184,                  1.671,                0.88663,                0.35767,                0.58889,                0.27664,                0.17549,                 1.4214,                  9.037,                 1.1207,             0.00024119,             0.00024119,             0.00024119
                     16,                0.83741,                 1.0568,                0.87147,                0.47878,                0.71111,                0.39076,                0.25923,                 1.3515,                 5.6942,                 1.0828,             0.00025545,             0.00025545,             0.00025545
                     17,                0.85194,                 1.1777,                0.92544,                0.47176,                0.71449,                0.39656,                0.26903,                 1.3059,                  5.548,                 1.0637,             0.00026931,             0.00026931,             0.00026931
                     18,                0.83481,                0.98236,                0.85434,                0.47176,                0.71449,                0.39656,                0.26903,                 1.3059,                  5.548,                 1.0637,             0.00028278,             0.00028278,             0.00028278
                     19,                0.76652,                0.89947,                 0.8767,                0.43976,                0.74137,                0.37897,                0.25451,                 1.2921,                 4.7072,                 1.0679,             0.00029585,             0.00029585,             0.00029585
                     20,                0.88397,                  1.059,                0.93802,                0.43976,                0.74137,                0.37897,                0.25451,                 1.2921,                 4.7072,                 1.0679,             0.00030852,             0.00030852,             0.00030852
                     21,                0.83833,                0.88265,                 0.9287,                0.42912,                0.62222,                0.35485,                0.24162,                 1.2836,                 4.0801,                 1.0604,              0.0003208,              0.0003208,              0.0003208
                     22,                0.79962,                0.91496,                0.91617,                0.42912,                0.62222,                0.35485,                0.24162,                 1.2836,                 4.0801,                 1.0604,             0.00033268,             0.00033268,             0.00033268
                     23,                0.80451,                0.84764,                0.85261,                0.38612,                0.47778,                0.27327,                0.18224,                 1.2924,                 4.1659,                 1.0716,             0.00034417,             0.00034417,             0.00034417
                     24,                0.77608,                0.98179,                0.88537,                0.38612,                0.47778,                0.27327,                0.18224,                 1.2924,                 4.1659,                 1.0716,             0.00035526,             0.00035526,             0.00035526
                     25,                0.83907,                 1.0183,                0.88632,                 0.2648,                0.29216,                0.19121,                0.12767,                 1.2771,                 4.9675,                 1.0797,             0.00036595,             0.00036595,             0.00036595
                     26,                0.84557,                 0.8047,                0.88423,                 0.2648,                0.29216,                0.19121,                0.12767,                 1.2771,                 4.9675,                 1.0797,             0.00037625,             0.00037625,             0.00037625
                     27,                0.80379,                0.82219,                0.90898,                0.33619,                0.41111,                0.22077,                0.15387,                 1.1748,                 3.8569,                 1.0465,             0.00038615,             0.00038615,             0.00038615
                     28,                0.76779,                0.87757,                0.88618,                0.33619,                0.41111,                0.22077,                0.15387,                 1.1748,                 3.8569,                 1.0465,             0.00039566,             0.00039566,             0.00039566
                     29,                0.69035,                0.70066,                0.91354,                0.56731,                0.49534,                0.44193,                0.31685,                 1.1676,                 2.1088,                 1.0282,             0.00040477,             0.00040477,             0.00040477
                     30,                0.99176,                 1.2083,                0.92415,                0.56731,                0.49534,                0.44193,                0.31685,                 1.1676,                 2.1088,                 1.0282,             0.00041348,             0.00041348,             0.00041348
                     31,                0.83433,                 1.0193,                0.92466,                0.83297,                0.60953,                0.71912,                 0.4831,                 1.1838,                 1.6994,                 1.0431,              0.0004218,              0.0004218,              0.0004218
                     32,                 0.8199,                0.74644,                0.89049,                0.83297,                0.60953,                0.71912,                 0.4831,                 1.1838,                 1.6994,                 1.0431,             0.00042972,             0.00042972,             0.00042972
                     33,                0.84208,                 0.9748,                0.91008,                0.81734,                0.54444,                0.67733,                0.43579,                 1.2407,                 1.7405,                 1.0644,             0.00043725,             0.00043725,             0.00043725
                     34,                0.81291,                0.87277,                0.91844,                0.81734,                0.54444,                0.67733,                0.43579,                 1.2407,                 1.7405,                 1.0644,             0.00044438,             0.00044438,             0.00044438
                     35,                0.86351,                0.84825,                0.88343,                0.84154,                0.43333,                0.54494,                0.31916,                 1.3905,                  1.804,                 1.1704,             0.00045111,             0.00045111,             0.00045111
                     36,                0.96765,                0.81292,                0.90088,                0.84154,                0.43333,                0.54494,                0.31916,                 1.3905,                  1.804,                 1.1704,             0.00045745,             0.00045745,             0.00045745
                     37,                 0.9611,                0.84925,                0.88149,                0.79152,                0.34444,                0.44294,                0.26124,                 1.4384,                  1.858,                 1.1837,             0.00046339,             0.00046339,             0.00046339
                     38,                  1.035,                 0.6953,                0.91683,                0.79152,                0.34444,                0.44294,                0.26124,                 1.4384,                  1.858,                 1.1837,             0.00046894,             0.00046894,             0.00046894
                     39,                0.90594,                0.73231,                0.87347,                 0.7022,                0.33333,                0.42869,                0.26808,                 1.3211,                 2.0202,                 1.1012,             0.00047409,             0.00047409,             0.00047409
                     40,                0.81151,                0.73595,                0.84379,                 0.7022,                0.33333,                0.42869,                0.26808,                 1.3211,                 2.0202,                 1.1012,             0.00047884,             0.00047884,             0.00047884
                     41,                0.85418,                0.76265,                0.91106,                0.14762,                0.68889,                0.15132,                0.09501,                 1.3077,                 3.0461,                 1.0769,              0.0004832,              0.0004832,              0.0004832
                     42,                0.89044,                0.85067,                0.86134,                0.14762,                0.68889,                0.15132,                0.09501,                 1.3077,                 3.0461,                 1.0769,             0.00048716,             0.00048716,             0.00048716
                     43,                0.93249,                0.75789,                 0.8941,                0.90015,                0.58889,                 0.6701,                0.43984,                 1.2812,                 1.1926,                 1.0676,             0.00049073,             0.00049073,             0.00049073
                     44,                0.72025,                0.70998,                 0.8577,                0.90015,                0.58889,                 0.6701,                0.43984,                 1.2812,                 1.1926,                 1.0676,              0.0004939,              0.0004939,              0.0004939
                     45,                 0.8493,                0.80707,                0.97994,                 0.8859,                0.60394,                0.69474,                0.46647,                 1.2609,                 1.3718,                 1.0767,             0.00049667,             0.00049667,             0.00049667
                     46,                0.82026,                0.69396,                0.89406,                 0.8859,                0.60394,                0.69474,                0.46647,                 1.2609,                 1.3718,                 1.0767,             0.00049905,             0.00049905,             0.00049905
                     47,                 0.7837,                0.71888,                0.90213,                0.87187,                0.68889,                0.73939,                0.51973,                 1.2006,                 1.2353,                 1.0386,             0.00050103,             0.00050103,             0.00050103
                     48,                0.85241,                0.63742,                0.97601,                0.87187,                0.68889,                0.73939,                0.51973,                 1.2006,                 1.2353,                 1.0386,             0.00050262,             0.00050262,             0.00050262
                     49,                0.85047,                0.68416,                0.89162,                0.83179,                0.68889,                0.75933,                0.51068,                  1.264,                 1.0977,                 1.0963,             0.00050381,             0.00050381,             0.00050381
                     50,                0.86658,                0.81383,                0.92032,                0.83179,                0.68889,                0.75933,                0.51068,                  1.264,                 1.0977,                 1.0963,              0.0005046,              0.0005046,              0.0005046
                     51,                0.87368,                0.80812,                0.86607,                0.86967,                0.65556,                0.75731,                0.52579,                 1.2698,                 1.0795,                 1.0872,               0.000505,               0.000505,               0.000505
                     52,                0.90622,                0.69547,                0.94608,                0.86967,                0.65556,                0.75731,                0.52579,                 1.2698,                 1.0795,                 1.0872,               0.000505,               0.000505,               0.000505
                     53,                0.82653,                0.65164,                0.89584,                0.86967,                0.65556,                0.75731,                0.52579,                 1.2698,                 1.0795,                 1.0872,             0.00050461,             0.00050461,             0.00050461
                     54,                0.91902,                0.68317,                0.93095,                0.86439,                0.70827,                0.79198,                0.54824,                 1.2247,                 1.0836,                 1.0694,             0.00050382,             0.00050382,             0.00050382
                     55,                0.81907,                0.67137,                0.87986,                0.86439,                0.70827,                0.79198,                0.54824,                 1.2247,                 1.0836,                 1.0694,             0.00050263,             0.00050263,             0.00050263
                     56,                0.85248,                0.68001,                0.87969,                0.86439,                0.70827,                0.79198,                0.54824,                 1.2247,                 1.0836,                 1.0694,             0.00050105,             0.00050105,             0.00050105
                     57,                0.90424,                0.74476,                0.96677,                0.88139,                0.71111,                0.80493,                0.56366,                 1.1586,                0.95883,                 1.0372,             0.00049907,             0.00049907,             0.00049907
                     58,                0.81209,                0.62822,                0.87663,                0.88139,                0.71111,                0.80493,                0.56366,                 1.1586,                0.95883,                 1.0372,              0.0004967,              0.0004967,              0.0004967
                     59,                0.91942,                0.64454,                 1.0498,                0.88139,                0.71111,                0.80493,                0.56366,                 1.1586,                0.95883,                 1.0372,             0.00049393,             0.00049393,             0.00049393
                     60,                0.96062,                0.78227,                0.96589,                 0.9205,                0.75556,                0.82226,                0.57547,                 1.1454,                0.86232,                 1.0313,             0.00049076,             0.00049076,             0.00049076
                     61,                0.90629,                0.72047,                0.86153,                 0.9205,                0.75556,                0.82226,                0.57547,                 1.1454,                0.86232,                 1.0313,              0.0004872,              0.0004872,              0.0004872
                     62,                 0.8136,                0.63699,                0.89649,                 0.9205,                0.75556,                0.82226,                0.57547,                 1.1454,                0.86232,                 1.0313,             0.00048324,             0.00048324,             0.00048324
                     63,                0.88077,                0.65502,                0.95197,                0.88018,                0.73459,                0.82227,                0.55785,                 1.1909,                0.89467,                 1.0273,             0.00047889,             0.00047889,             0.00047889
                     64,                0.70372,                0.65883,                0.84621,                0.88018,                0.73459,                0.82227,                0.55785,                 1.1909,                0.89467,                 1.0273,             0.00047414,             0.00047414,             0.00047414
                     65,                0.81458,                0.74298,                0.90205,                0.88018,                0.73459,                0.82227,                0.55785,                 1.1909,                0.89467,                 1.0273,             0.00046899,             0.00046899,             0.00046899
                     66,                0.82077,                0.76284,                0.90659,                0.81069,                0.56667,                0.70308,                0.43713,                 1.3401,                 1.1148,                 1.0808,             0.00046345,             0.00046345,             0.00046345
                     67,                 0.8382,                0.79437,                0.90449,                0.81069,                0.56667,                0.70308,                0.43713,                 1.3401,                 1.1148,                 1.0808,             0.00045751,             0.00045751,             0.00045751
                     68,                0.88618,                0.73558,                0.91744,                0.81069,                0.56667,                0.70308,                0.43713,                 1.3401,                 1.1148,                 1.0808,             0.00045118,             0.00045118,             0.00045118
                     69,                0.85062,                0.77982,                0.88994,                0.62099,                0.49156,                0.53829,                0.33453,                 1.4344,                 1.2682,                  1.138,             0.00044445,             0.00044445,             0.00044445
                     70,                0.89321,                0.60869,                0.91975,                0.62099,                0.49156,                0.53829,                0.33453,                 1.4344,                 1.2682,                  1.138,             0.00043732,             0.00043732,             0.00043732
                     71,                0.72491,                0.62165,                0.86283,                0.62099,                0.49156,                0.53829,                0.33453,                 1.4344,                 1.2682,                  1.138,              0.0004298,              0.0004298,              0.0004298
                     72,                0.78938,                0.68514,                0.85292,                0.35775,                0.17778,                0.17741,                0.12816,                 1.9194,                 2.0481,                 1.4146,             0.00042188,             0.00042188,             0.00042188
                     73,                0.80596,                0.74438,                0.90056,                0.35775,                0.17778,                0.17741,                0.12816,                 1.9194,                 2.0481,                 1.4146,             0.00041357,             0.00041357,             0.00041357
                     74,                0.73659,                0.71739,                0.90221,                0.35775,                0.17778,                0.17741,                0.12816,                 1.9194,                 2.0481,                 1.4146,             0.00040486,             0.00040486,             0.00040486
                     75,                0.85699,                0.63411,                0.94873,                0.47116,                0.07778,                0.10029,                  0.072,                 2.5909,                 3.0282,                  1.838,             0.00039575,             0.00039575,             0.00039575
                     76,                0.78944,                0.63146,                0.90247,                0.47116,                0.07778,                0.10029,                  0.072,                 2.5909,                 3.0282,                  1.838,             0.00038625,             0.00038625,             0.00038625
                     77,                 0.8458,                0.63593,                0.89369,                0.47116,                0.07778,                0.10029,                  0.072,                 2.5909,                 3.0282,                  1.838,             0.00037635,             0.00037635,             0.00037635
                     78,                0.83175,                0.84254,                0.88478,                0.17498,                0.05556,                0.02563,                 0.0172,                 2.7797,                 4.0451,                 2.0604,             0.00036606,             0.00036606,             0.00036606
                     79,                0.77481,                0.69063,                 0.9195,                0.17498,                0.05556,                0.02563,                 0.0172,                 2.7797,                 4.0451,                 2.0604,             0.00035537,             0.00035537,             0.00035537
                     80,                0.83199,                0.59485,                 0.8839,                0.17498,                0.05556,                0.02563,                 0.0172,                 2.7797,                 4.0451,                 2.0604,             0.00034428,             0.00034428,             0.00034428
                     81,                 0.7681,                0.57295,                0.88593,                0.08657,                    0.1,                0.02855,                0.01895,                 3.0199,                 3.8177,                 2.1311,              0.0003328,              0.0003328,              0.0003328
                     82,                0.73295,                0.70975,                0.89829,                0.08657,                    0.1,                0.02855,                0.01895,                 3.0199,                 3.8177,                 2.1311,             0.00032092,             0.00032092,             0.00032092
                     83,                0.90936,                 0.7941,                0.89741,                0.08657,                    0.1,                0.02855,                0.01895,                 3.0199,                 3.8177,                 2.1311,             0.00030865,             0.00030865,             0.00030865
                     84,                0.82225,                0.64108,                0.87688,                0.18655,                0.12222,                0.07956,                0.04838,                 2.8255,                 3.3141,                 2.0653,             0.00029598,             0.00029598,             0.00029598
                     85,                0.74777,                0.64215,                0.85306,                0.18655,                0.12222,                0.07956,                0.04838,                 2.8255,                 3.3141,                 2.0653,             0.00028291,             0.00028291,             0.00028291
                     86,                0.79227,                0.67684,                0.90723,                0.18655,                0.12222,                0.07956,                0.04838,                 2.8255,                 3.3141,                 2.0653,             0.00026945,             0.00026945,             0.00026945
                     87,                0.75233,                0.60093,                 0.9061,                0.18655,                0.12222,                0.07956,                0.04838,                 2.8255,                 3.3141,                 2.0653,             0.00025559,             0.00025559,             0.00025559
                     88,                0.76391,                0.60379,                0.88837,                 0.2234,                0.17778,                0.12992,                0.08036,                 2.4955,                 2.6669,                 1.7537,             0.00024134,             0.00024134,             0.00024134
                     89,                0.73009,                0.65391,                0.95599,                 0.2234,                0.17778,                0.12992,                0.08036,                 2.4955,                 2.6669,                 1.7537,             0.00022669,             0.00022669,             0.00022669
                     90,                0.85344,                0.77341,                0.90955,                 0.2234,                0.17778,                0.12992,                0.08036,                 2.4955,                 2.6669,                 1.7537,             0.00021164,             0.00021164,             0.00021164
                     91,                0.92255,                0.72902,                0.91965,                 0.2234,                0.17778,                0.12992,                0.08036,                 2.4955,                 2.6669,                 1.7537,              0.0001962,              0.0001962,              0.0001962
                     92,                0.74488,                0.62188,                0.92376,                0.63703,                0.18889,                0.24193,                0.15583,                 2.1065,                 2.3403,                 1.5295,             0.00018036,             0.00018036,             0.00018036
                     93,                0.73312,                0.61191,                0.90989,                0.63703,                0.18889,                0.24193,                0.15583,                 2.1065,                 2.3403,                 1.5295,             0.00016413,             0.00016413,             0.00016413
                     94,                0.75792,                0.58954,                0.96534,                0.63703,                0.18889,                0.24193,                0.15583,                 2.1065,                 2.3403,                 1.5295,              0.0001475,              0.0001475,              0.0001475
                     95,                0.83341,                0.57884,                 0.9082,                0.63703,                0.18889,                0.24193,                0.15583,                 2.1065,                 2.3403,                 1.5295,             0.00013047,             0.00013047,             0.00013047
                     96,                0.73288,                0.51804,                0.90464,                0.69836,                0.28305,                 0.3264,                 0.2149,                 1.9014,                 2.0913,                 1.4008,             0.00011305,             0.00011305,             0.00011305
                     97,                0.76931,                0.61965,                0.86613,                0.69836,                0.28305,                 0.3264,                 0.2149,                 1.9014,                 2.0913,                 1.4008,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.76732,                0.53943,                0.86344,                0.69836,                0.28305,                 0.3264,                 0.2149,                 1.9014,                 2.0913,                 1.4008,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.70618,                0.53954,                0.86829,                0.69836,                0.28305,                 0.3264,                 0.2149,                 1.9014,                 2.0913,                 1.4008,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.76772,                0.53466,                0.85658,                0.62888,                0.32012,                0.38651,                0.25969,                 1.6554,                 1.7347,                 1.2455,             3.9402e-05,             3.9402e-05,             3.9402e-05
                      1,                 1.1439,                 4.4373,                 1.3504,                  0.005,                0.03333,                0.00274,                0.00053,                 1.5483,                 4.6231,                 1.5432,                      0,                      0,                      0
