                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4002,                 2.9739,                 4.3025,                 1.5319,                0.02833,                0.18889,                 0.0207,                0.01052,                0.02833,                0.18889,                0.02022,                0.00969,                 1.4381,                 3.3197,                 3.5619,                 1.2838,                      0,                      0,                      0
                      2,                 1.8215,                 3.6725,                 4.6881,                 1.5324,                   0.03,                    0.2,                0.02292,                0.01067,                0.02833,                0.18889,                0.02126,                0.00945,                 1.4228,                 3.3303,                 3.5364,                 1.2753,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      3,                 1.3784,                 3.0168,                 3.9597,                 1.4378,                   0.03,                    0.2,                0.02254,                0.01127,                0.02833,                0.18889,                0.02155,                0.00979,                 1.4045,                 3.3174,                 3.5039,                 1.2656,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      4,                 1.8651,                  4.211,                 4.7129,                 1.7735,                   0.03,                    0.2,                0.02355,                0.01229,                0.02833,                0.18889,                0.02259,                0.01059,                 1.3962,                 3.3158,                  3.468,                 1.2556,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      5,                 1.8088,                 3.6088,                 5.7943,                 1.6574,                0.03333,                0.22222,                0.02817,                0.01443,                0.03167,                0.21111,                0.02713,                0.01279,                 1.3971,                 3.2954,                 3.4207,                 1.2498,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      6,                 1.9681,                 3.8043,                 4.7078,                  1.497,                0.03667,                0.24444,                0.03162,                0.01751,                  0.035,                0.23333,                0.03064,                0.01431,                 1.3853,                 3.3028,                 3.3752,                 1.2429,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                  1.136,                 3.1084,                 3.7686,                 1.2702,                 0.5088,                0.47191,                 0.4259,                0.25667,                 0.5088,                0.47191,                 0.3943,                 0.2053,                 1.3183,                 2.5671,                 1.7922,                 1.1138,             0.00011644,             0.00011644,             0.00011644
                      8,                 1.1948,                 2.4141,                 2.5112,                 1.1858,                0.79185,                0.76086,                0.84023,                0.55841,                0.87325,                0.65556,                0.81354,                0.47263,                 1.1635,                 1.9651,                 1.1509,                 1.0325,             0.00013515,             0.00013515,             0.00013515
                      9,                 1.1128,                 2.0957,                 2.0175,                 1.0808,                0.80756,                0.69942,                0.81646,                0.54959,                0.76303,                0.71559,                0.77907,                0.45504,                 1.1139,                 1.8352,                 1.3062,                 1.0018,             0.00015366,             0.00015366,             0.00015366
                     10,                 1.1571,                  2.032,                 1.9809,                 1.0071,                0.84946,                0.66667,                0.78263,                0.53092,                0.78421,                0.62222,                0.70305,                0.39129,                 1.1416,                 1.9828,                 1.3413,                0.97212,             0.00017198,             0.00017198,             0.00017198
                     11,                0.89246,                 1.6878,                 1.5046,                0.96203,                0.82071,                0.61036,                0.71357,                0.44128,                0.77596,                0.57727,                0.64978,                 0.3299,                 1.2491,                 2.1907,                 1.4518,                0.99002,              0.0001901,              0.0001901,              0.0001901
                     12,                0.66439,                 0.9513,                 1.1399,                0.84928,                0.53677,                0.48889,                0.44109,                0.27237,                0.49916,                0.46511,                 0.3961,                0.21199,                 1.2652,                 2.2036,                  2.049,                0.99054,             0.00020802,             0.00020802,             0.00020802
                     13,                0.86665,                 1.4202,                 1.1183,                 0.9466,                0.65989,                    0.6,                0.66993,                0.45382,                0.63545,                0.57778,                0.62871,                 0.3706,                 1.1842,                 2.4317,                 1.6218,                0.98398,             0.00022574,             0.00022574,             0.00022574
                     14,                 1.0856,                 1.2675,                 1.5301,                 0.9423,                0.65693,                0.68086,                0.68585,                0.45569,                0.71328,                0.61111,                0.64836,                0.35235,                 1.1986,                 2.8471,                 1.3704,                 1.0047,             0.00024327,             0.00024327,             0.00024327
                     15,                0.80682,                 1.2576,                 1.4906,                0.88278,                0.68453,                0.67778,                0.62313,                0.37341,                0.65009,                0.64444,                 0.5666,                0.28599,                 1.2852,                 2.9117,                 1.4487,                 1.0487,              0.0002606,              0.0002606,              0.0002606
                     16,                0.68604,                 1.0982,                0.95198,                0.84595,                0.74076,                0.72222,                0.67577,                0.39344,                0.69406,                0.66667,                0.59948,                0.29615,                 1.3628,                 3.0757,                 1.9302,                 1.0776,             0.00027773,             0.00027773,             0.00027773
                     17,                0.79433,                 1.2353,                 1.4224,                0.94637,                0.69596,                0.82222,                0.69462,                0.38375,                  0.648,                0.76667,                0.59579,                0.30085,                  1.423,                 3.2069,                 2.6676,                 1.1162,             0.00029466,             0.00029466,             0.00029466
                     18,                0.82801,                 1.4216,                 1.0136,                0.85731,                0.69596,                0.82222,                0.69462,                0.38375,                  0.648,                0.76667,                0.59579,                0.30085,                  1.423,                 3.2069,                 2.6676,                 1.1162,             0.00031139,             0.00031139,             0.00031139
                     19,                0.83216,                 1.1328,                0.90651,                0.88649,                0.56969,                0.76495,                0.53722,                0.32782,                0.53874,                0.72222,                0.48468,                0.25561,                 1.3431,                 2.9818,                 3.8707,                 1.0922,             0.00032792,             0.00032792,             0.00032792
                     20,                  1.059,                 1.4612,                 1.0225,                  1.042,                0.56969,                0.76495,                0.53722,                0.32782,                0.53874,                0.72222,                0.48468,                0.25561,                 1.3431,                 2.9818,                 3.8707,                 1.0922,             0.00034426,             0.00034426,             0.00034426
                     21,                0.94551,                 1.1439,                 1.0222,                0.93321,                 0.4892,                0.75556,                0.45628,                0.28071,                0.45773,                0.71111,                0.41025,                0.19718,                 1.2878,                 3.1997,                 4.6539,                 1.0714,              0.0003604,              0.0003604,              0.0003604
                     22,                0.76623,                 1.3245,                0.84352,                 0.8978,                 0.4892,                0.75556,                0.45628,                0.28071,                0.45773,                0.71111,                0.41025,                0.19718,                 1.2878,                 3.1997,                 4.6539,                 1.0714,             0.00037634,             0.00037634,             0.00037634
                     23,                0.88222,                 1.3008,                 0.8331,                0.88006,                0.45048,                0.82222,                0.42129,                0.26898,                0.43223,                 0.7782,                0.39218,                0.20231,                 1.2802,                 2.9715,                 4.7067,                 1.0742,             0.00039208,             0.00039208,             0.00039208
                     24,                0.91497,                 1.2236,                 1.0186,                0.95467,                0.45048,                0.82222,                0.42129,                0.26898,                0.43223,                 0.7782,                0.39218,                0.20231,                 1.2802,                 2.9715,                 4.7067,                 1.0742,             0.00040763,             0.00040763,             0.00040763
                     25,                0.77827,                 1.3508,                0.93986,                 0.8723,                0.47365,                 0.8499,                0.45312,                0.28054,                  0.461,                0.83629,                0.42071,                0.21665,                 1.3448,                 2.9332,                 4.3598,                 1.1036,             0.00042298,             0.00042298,             0.00042298
                     26,                0.83642,                 1.1741,                0.82776,                0.88625,                0.47365,                 0.8499,                0.45312,                0.28054,                  0.461,                0.83629,                0.42071,                0.21665,                 1.3448,                 2.9332,                 4.3598,                 1.1036,             0.00043812,             0.00043812,             0.00043812
                     27,                0.91681,                 1.1392,                0.84699,                0.93692,                0.51954,                0.81111,                0.48378,                0.29332,                0.49773,                0.77778,                0.43672,                0.22389,                 1.3758,                  3.075,                 3.5299,                 1.1167,             0.00045308,             0.00045308,             0.00045308
                     28,                0.93395,                 1.1699,                 0.9662,                0.93768,                0.51954,                0.81111,                0.48378,                0.29332,                0.49773,                0.77778,                0.43672,                0.22389,                 1.3758,                  3.075,                 3.5299,                 1.1167,             0.00046783,             0.00046783,             0.00046783
                     29,                 0.7422,                 1.0108,                0.82039,                0.92744,                0.41013,                0.78889,                 0.3845,                0.22883,                0.38702,                0.74444,                0.33777,                0.17762,                 1.4103,                 3.1568,                 4.1413,                 1.1325,             0.00048238,             0.00048238,             0.00048238
                     30,                0.99222,                  1.603,                 1.4842,                0.90211,                0.41013,                0.78889,                 0.3845,                0.22883,                0.38702,                0.74444,                0.33777,                0.17762,                 1.4103,                 3.1568,                 4.1413,                 1.1325,             0.00049674,             0.00049674,             0.00049674
                     31,                0.80924,                 1.4083,                 1.0947,                0.92381,                0.39995,                0.73317,                0.35638,                0.20981,                0.36211,                    0.7,                0.31589,                0.15812,                 1.4373,                 3.1691,                 5.0029,                 1.1918,              0.0005109,              0.0005109,              0.0005109
                     32,                0.85755,                 1.2401,                0.77076,                0.87712,                0.39995,                0.73317,                0.35638,                0.20981,                0.36211,                    0.7,                0.31589,                0.15812,                 1.4373,                 3.1691,                 5.0029,                 1.1918,             0.00052486,             0.00052486,             0.00052486
                     33,                0.85874,                  1.412,                0.88054,                0.90075,                0.35026,                0.72222,                0.32587,                0.19945,                0.38398,                0.56667,                0.30803,                0.15656,                 1.4347,                 2.9538,                 4.0895,                 1.1724,             0.00053862,             0.00053862,             0.00053862
                     34,                 1.1345,                 1.1956,                 1.2159,                 1.0121,                0.35026,                0.72222,                0.32587,                0.19945,                0.38398,                0.56667,                0.30803,                0.15656,                 1.4347,                 2.9538,                 4.0895,                 1.1724,             0.00055219,             0.00055219,             0.00055219
                     35,                 1.0624,                 1.2589,                 1.2453,                0.94713,                0.37137,                0.57778,                0.29968,                0.18727,                0.37137,                0.57778,                0.29791,                0.15968,                 1.4761,                 3.0152,                 2.9265,                 1.1555,             0.00056556,             0.00056556,             0.00056556
                     36,                 1.0469,                 1.1698,                0.83716,                 0.9059,                0.37137,                0.57778,                0.29968,                0.18727,                0.37137,                0.57778,                0.29791,                0.15968,                 1.4761,                 3.0152,                 2.9265,                 1.1555,             0.00057872,             0.00057872,             0.00057872
                     37,                 1.0051,                  1.187,                0.95287,                0.89763,                0.74113,                0.57264,                0.62973,                0.37454,                0.73444,                    0.6,                0.64737,                0.30661,                 1.4901,                 3.3998,                 1.2266,                 1.1645,              0.0005917,              0.0005917,              0.0005917
                     38,                0.99518,                 1.0399,                0.92479,                0.92652,                0.74113,                0.57264,                0.62973,                0.37454,                0.73444,                    0.6,                0.64737,                0.30661,                 1.4901,                 3.3998,                 1.2266,                 1.1645,             0.00060447,             0.00060447,             0.00060447
